1000,Canada montañista,Blessd
1001,Edgardo montañista,Lucky Brown
1002,Pan sangriento,Feid
1003,Edgardo estancado,Kidd Voodoo
1004,Edgardo estancado,Cris MJ
1005,Edgardo terrorista,Feid
1006,Edgardo desgraciado,Katteyes
1007,Pan sangriento,Anuel AA
1008,Pan montañista,Bad Bunny
1009,Torre montañista,Blessd
1010,Torre estancado,Feid
1011,Edgardo terrorista,Kidd Voodoo
1012,Torre sangriento,Anuel AA
1013,Pan sangriento,Katteyes
1014,Pan terrorista,Bad Bunny
1015,Canada estancado,Bad Bunny
1016,Canada estancado,Feid
1017,Pan terrorista,Bad Bunny
1018,Canada montañista,Kidd Voodoo
1019,Torre sangriento,Bad Bunny
